,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
322,0.927,tanh,3.37E-07,0.000495968,0.001231787,300,4,1
323,0.175,tanh,1.48E-06,0.529659303,0.059173836,613,2,1
324,0.1135,tanh,6.66E-07,0.025648642,0.015825156,781,2,1
325,0.8348,tanh,2.40E-07,0.001492904,0.011000715,160,4,1
326,0.1135,tanh,2.31E-07,0.073716396,0.015795608,138,2,1
327,0.1135,tanh,3.59E-07,0.245969442,0.05436605,615,4,1
328,0.5723,tanh,5.67E-05,0.00144329,0.051423239,134,4,1
329,0.1322,tanh,9.73E-07,0.805233768,0.060880297,902,2,1
330,0.0982,tanh,1.71E-07,0.645362149,0.967023935,944,4,1
331,0.1135,tanh,8.55E-06,0.297699829,0.001402621,618,3,1
332,0.1135,tanh,6.19E-06,0.011385038,0.124609439,182,3,1
333,0.932,tanh,9.76E-05,0.002198827,0.00172992,565,2,1
334,0.792,tanh,3.80E-05,0.000384999,0.033497472,149,3,1
335,0.1135,tanh,7.23E-06,0.251939852,0.015228956,414,2,1
336,0.1546,tanh,1.70E-06,0.142318745,0.230548758,521,4,1
337,0.1541,tanh,8.94E-05,0.003895112,0.132735025,128,4,1
338,0.9048,tanh,7.52E-07,0.002450076,0.00351081,349,3,1
339,0.1135,tanh,7.78E-06,0.111966413,0.043927813,560,4,1
340,0.0892,tanh,1.48E-06,0.000251639,0.95747039,143,3,1
341,0.1135,tanh,2.11E-07,0.18327398,0.003324831,521,4,1
342,0.0892,tanh,2.20E-07,0.000349406,0.625930351,203,2,1
343,0.9381,tanh,1.28E-07,0.001571236,0.002780342,693,2,1
344,0.1135,tanh,3.86E-06,0.064344027,0.015976329,421,4,1
345,0.8545,tanh,2.00E-07,0.00373277,0.004238414,377,3,1
346,0.1135,tanh,1.24E-07,0.218111227,0.03836443,702,4,1
347,0.1135,tanh,1.31E-05,0.009720259,0.042709611,186,4,1
348,0.1135,tanh,5.13E-07,0.011813055,0.009163999,281,3,1
349,0.1135,tanh,1.30E-06,0.098381559,0.015338684,468,4,1
350,0.652,tanh,1.50E-05,0.000108905,0.058712304,171,3,1
351,0.7067,tanh,4.30E-06,0.000142827,0.046590196,159,3,1
352,0.0974,tanh,3.47E-07,0.005953988,0.672155736,225,4,1
353,0.1135,tanh,2.14E-07,0.021682498,0.00587277,505,3,1
354,0.1135,tanh,2.92E-05,0.030280737,0.480240312,221,3,1
355,0.1135,tanh,1.33E-05,0.009111479,0.222425304,188,3,1
356,0.1135,tanh,6.46E-05,0.011549907,0.004167052,648,3,1
357,0.1135,tanh,2.48E-05,0.130050733,0.033624115,297,4,1
358,0.1028,tanh,8.67E-07,0.002696544,0.379463852,132,2,1
359,0.8687,tanh,4.89E-06,0.000128155,0.016008247,294,2,1
360,0.8924,tanh,3.79E-05,0.000308503,0.010965493,296,4,1
361,0.1135,tanh,1.49E-07,0.007691968,0.241846957,210,4,1
362,0.9183,tanh,6.19E-07,0.002477219,0.001686681,804,3,1
363,0.7455,tanh,3.06E-05,0.000168316,0.042947561,197,2,1
364,0.6186,tanh,1.29E-07,0.003731775,0.026037605,530,2,1
365,0.1009,tanh,4.77E-07,0.085084537,0.874637847,137,2,1
366,0.352,tanh,7.36E-06,0.008111776,0.031900436,317,2,1
367,0.1135,tanh,6.41E-06,0.128670167,0.004478246,695,3,1
368,0.3502,tanh,2.58E-07,0.000171692,0.22844309,144,3,1
369,0.9208,tanh,3.82E-06,0.000455745,0.004424537,214,3,1
