,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
350,0.101,tanh,1.00E-05,0.001,1,215,4,1
351,0.1028,tanh,0.0001,0.001,1,215,4,1
352,0.9287,tanh,1.00E-07,0.001,0.001,464,4,1
353,0.9288,tanh,1.00E-06,0.001,0.001,464,4,1
354,0.9278,tanh,1.00E-05,0.001,0.001,464,4,1
355,0.9196,tanh,0.0001,0.001,0.001,464,4,1
356,0.8213,tanh,1.00E-07,0.001,0.01,464,4,1
357,0.8644,tanh,1.00E-06,0.001,0.01,464,4,1
358,0.8615,tanh,1.00E-05,0.001,0.01,464,4,1
359,0.926,tanh,0.0001,0.001,0.01,464,4,1
360,0.431,tanh,1.00E-07,0.001,0.1,464,4,1
361,0.5735,tanh,1.00E-06,0.001,0.1,464,4,1
362,0.459,tanh,1.00E-05,0.001,0.1,464,4,1
363,0.3747,tanh,0.0001,0.001,0.1,464,4,1
364,0.1009,tanh,1.00E-07,0.001,1,464,4,1
365,0.098,tanh,1.00E-06,0.001,1,464,4,1
366,0.0958,tanh,1.00E-05,0.001,1,464,4,1
367,0.1028,tanh,0.0001,0.001,1,464,4,1
368,0.9375,tanh,1.00E-07,0.001,0.001,1000,4,1
369,0.9355,tanh,1.00E-06,0.001,0.001,1000,4,1
370,0.9348,tanh,1.00E-05,0.001,0.001,1000,4,1
371,0.9294,tanh,0.0001,0.001,0.001,1000,4,1
372,0.7978,tanh,1.00E-07,0.001,0.01,1000,4,1
373,0.7853,tanh,1.00E-06,0.001,0.01,1000,4,1
374,0.866,tanh,1.00E-05,0.001,0.01,1000,4,1
375,0.9155,tanh,0.0001,0.001,0.01,1000,4,1
376,0.292,tanh,1.00E-07,0.001,0.1,1000,4,1
377,0.4743,tanh,1.00E-06,0.001,0.1,1000,4,1
378,0.3568,tanh,1.00E-05,0.001,0.1,1000,4,1
379,0.5695,tanh,0.0001,0.001,0.1,1000,4,1
380,0.1028,tanh,1.00E-07,0.001,1,1000,4,1
381,0.1028,tanh,1.00E-06,0.001,1,1000,4,1
382,0.1009,tanh,1.00E-05,0.001,1,1000,4,1
383,0.0958,tanh,0.0001,0.001,1,1000,4,1
384,0.8918,tanh,1.00E-07,0.01,0.001,100,2,1
385,0.8915,tanh,1.00E-06,0.01,0.001,100,2,1
386,0.8966,tanh,1.00E-05,0.01,0.001,100,2,1
387,0.9036,tanh,0.0001,0.01,0.001,100,2,1
388,0.6491,tanh,1.00E-07,0.01,0.01,100,2,1
389,0.7188,tanh,1.00E-06,0.01,0.01,100,2,1
390,0.7031,tanh,1.00E-05,0.01,0.01,100,2,1
391,0.8027,tanh,0.0001,0.01,0.01,100,2,1
392,0.1143,tanh,1.00E-07,0.01,0.1,100,2,1
393,0.1135,tanh,1.00E-06,0.01,0.1,100,2,1
394,0.1064,tanh,1.00E-05,0.01,0.1,100,2,1
395,0.2013,tanh,0.0001,0.01,0.1,100,2,1
396,0.1009,tanh,1.00E-07,0.01,1,100,2,1
397,0.1009,tanh,1.00E-06,0.01,1,100,2,1
398,0.101,tanh,1.00E-05,0.01,1,100,2,1
399,0.1009,tanh,0.0001,0.01,1,100,2,1
400,0.8845,tanh,1.00E-07,0.01,0.001,215,2,1
401,0.8932,tanh,1.00E-06,0.01,0.001,215,2,1
402,0.8936,tanh,1.00E-05,0.01,0.001,215,2,1
403,0.9062,tanh,0.0001,0.01,0.001,215,2,1
404,0.685,tanh,1.00E-07,0.01,0.01,215,2,1
405,0.6979,tanh,1.00E-06,0.01,0.01,215,2,1
406,0.6804,tanh,1.00E-05,0.01,0.01,215,2,1
407,0.7961,tanh,0.0001,0.01,0.01,215,2,1
408,0.1943,tanh,1.00E-07,0.01,0.1,215,2,1
